PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,FacilityInspireId,facilityName,city,Longitude,Latitude,addressConfidentialityReason,wasteTreatment,wasteClassification,wasteTransfers,confidentialityReason
2026/02/13,Sweden,2008.0,4.0,Chemical industry,4(a)(viii),SE.CAED/10017203.Facility,Akzo Nobel Decorative/Industrial Coatings,MALMÖ,13.08479,55.61476,,Recovery,NONHW,1050.0,
2026/02/13,Norway,2015.0,8.0,Animal and vegetable products from the food and beverage sector,8(b)(ii),NO.EEA/192288.FACILITY,Felleskjøpet Agri fabrikk Nedre Ila Trondheim,Trondheim,10.372468,63.4319038,,Recovery,HW,2.19,
2026/02/13,Norway,2008.0,1.0,Energy sector,1(a),NO.EEA/1547.0005.02.FACILITY,Nyhamna prosessanlegg,Aukra,6.942666,62.84787,,Disposal,HW,0.182,
2026/02/13,Norway,2008.0,3.0,Mineral industry,3(a),NO.EEA/0000.0023.01.FACILITY,Glitne,Stavanger,1.66524,58.7121773,,Recovery,HW,10.5,
2026/02/13,Sweden,2009.0,1.0,Energy sector,1(a),SE.CAED/10019434.Facility,Preem  AB Preemraff Göteborg,GÖTEBORG,11.82119,57.71094,,Recovery,HW,1570.0,
2026/02/13,Denmark,2009.0,4.0,Chemical industry,4(a),DK.EEA/9549.FACILITY,ZPD A/S,Esbjerg,8.42478468934025,55.480972097135,,Disposal,NONHW,493.0,
2026/02/13,Denmark,2020.0,8.0,Animal and vegetable products from the food and beverage sector,8(a),DK.CAED/000068116.FACILITY,Danish Crown A/S - Horsens,Horsens,9.827559859910572,55.916708654025896,,Disposal,NONHW,452.0,
2026/02/13,Sweden,2022.0,5.0,Waste and wastewater management,5(a),SE.CAED/10017675.Facility,Ragn-Sells Grundkallen Malmö,MALMÖ,13.02935,55.62484,,Recovery,HW,1430.0,
2026/02/13,Sweden,2013.0,4.0,Chemical industry,4(e),SE.CAED/10014078.Facility,ASTRAZENECA SNÄCKVIKEN,SÖDERTÄLJE,17.62079,59.20379,,Recovery,HW,1370.0,
2026/02/13,Denmark,2009.0,5.0,Waste and wastewater management,5(d),DK.EEA/6400.FACILITY,Vejle AffaldGenbrug,Vejle               ,9.49425618956246,55.7149976526436,,Disposal,HW,1300.0,
2026/02/13,Sweden,2009.0,5.0,Waste and wastewater management,5(d),SE.CAED/10014581.Facility,Viks Avfallsupplag,VINGÅKER,15.91958,59.08722,,Recovery,HW,237.0,
2026/02/13,Denmark,2008.0,5.0,Waste and wastewater management,5(d),DK.EEA/4517.FACILITY,Odense Nord Miljøcenter,Odense N            ,10.4193303191392,55.4540736866739,,Recovery,NONHW,16300.0,
2026/02/13,Sweden,2016.0,6.0,Paper and wood production and processing,6(b),SE.CAED/10020740.Facility,Ahlstrom Ställdalen AB,STÄLLDALEN,14.94387,59.93666,,Disposal,HW,62.0,
2026/02/13,Sweden,2010.0,2.0,Production and processing of metals,2(f),SE.CAED/10021334.Facility,Arboga Hårdkrom AB,ARBOGA,15.81299,59.40102,,Disposal,HW,12.5,
2026/02/13,Sweden,2016.0,5.0,Waste and wastewater management,5(d),SE.CAED/10014736.Facility,Lilla Nyby avfallsanläggnng,ESKILSTUNA,16.53889,59.34456,,Recovery,HW,1670.0,
2026/02/13,Sweden,2023.0,2.0,Production and processing of metals,2(f),SE.CAED/10021062.Facility,Surahammars Bruk AB,SURAHAMMAR,16.21007,59.70411,,Recovery,HW,2055.0,
2026/02/13,Sweden,2016.0,5.0,Waste and wastewater management,5(b),SE.CAED/10019709.Facility,Lillesjö Avfallskraftvärmeverk,UDDEVALLA,11.9835,58.37412,,Disposal,NONHW,202.0,
2026/02/13,Norway,2014.0,3.0,Mineral industry,3(a),NO.EEA/0000.0040.02.FACILITY,Grane,Stavanger,2.485774,59.1646233,,Recovery,HW,2850.0,
2026/02/13,Norway,2014.0,4.0,Chemical industry,4(b)(v),NO.EEA/192327.FACILITY,Washington Mills AS,Orkanger,9.820811,63.3123741,,Disposal,HW,10.9,
2026/02/13,Sweden,2024.0,3.0,Mineral industry,3(c),SE.CAED/10014663.Facility,Oxelö Kalkverk AB,OXELÖSUND,17.13326,58.67773,,Recovery,HW,6.153,
2026/02/13,Sweden,2009.0,6.0,Paper and wood production and processing,6(b),SE.CAED/10015046.Facility,Bravikens Pappersbruk,NORRKÖPING,16.26148,58.63975,,Recovery,NONHW,189000.0,
2026/02/13,Sweden,2013.0,5.0,Waste and wastewater management,5(d),SE.CAED/10015336.Facility,Gynnås avfallsanläggning,GNOSJÖ,13.6933,57.38401,,Disposal,NONHW,130.0,
2026/02/13,Sweden,2022.0,5.0,Waste and wastewater management,5(d),SE.CAED/10020399.Facility,Furskogs avfallsanläggning,ÅRJÄNG,12.04503,59.38724,,Recovery,HW,262.0,
2026/02/13,Sweden,2011.0,5.0,Waste and wastewater management,5(c),SE.CAED/10019460.Facility,Skrotfrag AB - Agnesberg,AGNESBERG,12.00845,57.78597,,Recovery,NONHW,12300.0,
2026/02/13,Norway,2014.0,1.0,Energy sector,1(a),NO.EEA/1547.0005.02.FACILITY,Nyhamna prosessanlegg,Aukra,6.942666,62.84787,,Disposal,HW,0.0258,
2026/02/13,Sweden,2016.0,5.0,Waste and wastewater management,5(d),SE.CAED/10016123.Facility,Äskya avfallsanläggning,ÄLMHULT,14.16084,56.56181,,Recovery,NONHW,7790.0,
2026/02/13,Sweden,2024.0,5.0,Waste and wastewater management,5(d),SE.CAED/10020320.Facility,Lundens avfallsupplag,CHARLOTTENBERG,12.18724,59.77209,,Recovery,NONHW,4435.38,
2026/02/13,Sweden,2018.0,5.0,Waste and wastewater management,5(a),SE.CAED/10016621.Facility,Franssons Tankservice AB,NYBRO,15.8974,56.74258,,Disposal,HW,42.5,
2026/02/13,Denmark,2012.0,4.0,Chemical industry,4(a),DK.EEA/4621.FACILITY,A/S ORTHANA KEMISK FABRIK,Kastrup,12.6031642135524,55.6261012090402,,Recovery,HW,20.2,
2026/02/13,Norway,2007.0,6.0,Paper and wood production and processing,6(a),NO.EEA/0101.0031.01.FACILITY,Norske Skog Saugbrugs,Halden,11.402339,59.12504,,Disposal,HW,6.0,
2026/02/13,Sweden,2010.0,6.0,Paper and wood production and processing,6(a),SE.CAED/10015965.Facility,Lessebo Bruk,LESSEBO,15.2718,56.74739,,Disposal,HW,14.6,
