PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2026/02/13,Sweden,2012,1.0,Energy sector,Nitrous oxide (N2O),464100.0
2026/02/13,Sweden,2010,2.0,Production and processing of metals,Carbon dioxide (CO2) excluding biomass,5523000000.0
2026/02/13,Denmark,2019,5.0,Waste and wastewater management,Cadmium and compounds (as Cd),0.73
2026/02/13,Sweden,2023,6.0,Paper and wood production and processing,Nitrous oxide (N2O),369421.8
2026/02/13,Denmark,2012,8.0,Animal and vegetable products from the food and beverage sector,Sulphur oxides (SOX),968000.0
2026/02/13,Sweden,2020,2.0,Production and processing of metals,Mercury and compounds (as Hg),71.9
2026/02/13,Sweden,2010,4.0,Chemical industry,Nitrous oxide (N2O),1029000.0
2026/02/13,Sweden,2019,2.0,Production and processing of metals,Cadmium and compounds (as Cd),60.0
2026/02/13,Norway,2012,4.0,Chemical industry,Methane (CH4),636000.0
2026/02/13,Denmark,2019,,,Methane (CH4),306570.0
2026/02/13,Sweden,2010,2.0,Production and processing of metals,Chlorine and inorganic compounds (as HCl),681000.0
2026/02/13,Denmark,2024,5.0,Waste and wastewater management,Non-methane volatile organic compounds (NMVOC),0.6114
2026/02/13,Sweden,2022,4.0,Chemical industry,Benzene,7470.0
2026/02/13,Denmark,2019,3.0,Mineral industry,Ammonia (NH3),425293.0
2026/02/13,Norway,2011,3.0,Mineral industry,Sulphur oxides (SOX),952000.0
2026/02/13,Norway,2008,4.0,Chemical industry,Vinyl chloride,29550.0
2026/02/13,Sweden,2023,6.0,Paper and wood production and processing,Sulphur oxides (SOX),2322252.0
2026/02/13,Norway,2007,4.0,Chemical industry,Sulphur oxides (SOX),736000.0
2026/02/13,Norway,2016,4.0,Chemical industry,"1,2-dichloroethane (DCE-1,2)",11700.0
2026/02/13,Denmark,2020,9.0,Other activities,Non-methane volatile organic compounds (NMVOC),158674.0
2026/02/13,Norway,2009,3.0,Mineral industry,PCDD + PCDF (dioxins + furans) (as Teq),0.00025
2026/02/13,Norway,2013,4.0,Chemical industry,Sulphur oxides (SOX),679000.0
2026/02/13,Norway,2012,4.0,Chemical industry,Fluorides (as total F),3870.0
2026/02/13,Norway,2010,3.0,Mineral industry,Total organic carbon(as total C or COD/3) (TOC),28300.0
2026/02/13,Denmark,2020,4.0,Chemical industry,Hydrochlorofluorocarbons (HCFCs),38.0
2026/02/13,Sweden,2024,2.0,Production and processing of metals,Fluorine and inorganic compounds (as HF),69484.0
2026/02/13,Sweden,2023,2.0,Production and processing of metals,Chromium and compounds (as Cr),906.19
2026/02/13,Sweden,2013,4.0,Chemical industry,Carbon dioxide (CO2) excluding biomass,782720000.0
