PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2026/02/13,Portugal,2023,6,Paper and wood production and processing,Nitrous oxide (N2O),118000
2026/02/13,Switzerland,2017,3,Mineral industry,Carbon monoxide (CO),5676000
2026/02/13,United Kingdom,2008,5,Waste and wastewater management,Hydro-fluorocarbons (HFCS),286
2026/02/13,Spain,2014,4,Chemical industry,PCDD + PCDF (dioxins + furans) (as Teq),0.020423
2026/02/13,France,2007,9,Other activities,Carbon dioxide (CO2),183000000
2026/02/13,Denmark,2009,1,Energy sector,Sulphur oxides (SOX),3194000
2026/02/13,Spain,2013,2,Production and processing of metals,Methane (CH4),943000
2026/02/13,Spain,2019,5,Waste and wastewater management,Zinc and compounds (as Zn),765
2026/02/13,Poland,2008,3,Mineral industry,Chlorofluorocarbons (CFCs),383
2026/02/13,Belgium,2007,1,Energy sector,Fluorine and inorganic compounds (as HF),159700
2026/02/13,Bulgaria,2019,7,Intensive livestock production and aquaculture,Methane (CH4),1853677
2026/02/13,Belgium,2019,6,Paper and wood production and processing,Polycyclic aromatic hydrocarbons (PAHs),176
2026/02/13,Denmark,2024,3,Mineral industry,Particulate matter (PM10),99327
2026/02/13,Austria,2016,1,Energy sector,Nitrogen oxides (NOX),3237000
2026/02/13,Netherlands,2018,5,Waste and wastewater management,Ammonia (NH3),30300
2026/02/13,Sweden,2015,4,Chemical industry,Non-methane volatile organic compounds (NMVOC),1137000
2026/02/13,France,2008,9,Other activities,Sulphur oxides (SOX),1623000
2026/02/13,France,2020,,,Chlorofluorocarbons (CFCs),3.92
2026/02/13,Bulgaria,2024,3,Mineral industry,Ammonia (NH3),79383.37
2026/02/13,Belgium,2015,9,Other activities,Non-methane volatile organic compounds (NMVOC),1653000
2026/02/13,Slovakia,2019,1,Energy sector,Fluorine and inorganic compounds (as HF),10500
2026/02/13,Spain,2007,4,Chemical industry,Cadmium and compounds (as Cd),18.1
2026/02/13,Norway,2013,6,Paper and wood production and processing,Hydrochlorofluorocarbons (HCFCs),14
2026/02/13,Italy,2008,,,Nitrous oxide (N2O),10900
2026/02/13,Hungary,2017,4,Chemical industry,Ammonia (NH3),367000
2026/02/13,Hungary,2017,2,Production and processing of metals,Sulphur oxides (SOX),774000
2026/02/13,Denmark,2012,7,Intensive livestock production and aquaculture,Ammonia (NH3),1449800
2026/02/13,France,2023,4,Chemical industry,Methane (CH4),446000
2026/02/13,Romania,2008,3,Mineral industry,Ammonia (NH3),25700
2026/02/13,United Kingdom,2016,2,Production and processing of metals,Dichloromethane (DCM),1390
2026/02/13,Czechia,2007,4,Chemical industry,Chlorine and inorganic compounds (as HCl),101800
2026/02/13,Netherlands,2012,4,Chemical industry,Carbon monoxide (CO),12424000
2026/02/13,Finland,2010,2,Production and processing of metals,PCDD + PCDF (dioxins + furans) (as Teq),0.0028
2026/02/13,Denmark,2018,4,Chemical industry,Chlorine and inorganic compounds (as HCl),10715
2026/02/13,United Kingdom,2014,5,Waste and wastewater management,Carbon monoxide (CO),3692000
2026/02/13,Estonia,2021,1,Energy sector,Arsenic and compounds (as As),149.29999999999998
2026/02/13,United Kingdom,2019,3,Mineral industry,Arsenic and compounds (as As),204.60000000000002
2026/02/13,Slovenia,2014,5,Waste and wastewater management,Methane (CH4),8781000
2026/02/13,Finland,2015,2,Production and processing of metals,Mercury and compounds (as Hg),122
2026/02/13,Finland,2012,2,Production and processing of metals,Polychlorinated biphenyls (PCBs),4.2
2026/02/13,Switzerland,2020,4,Chemical industry,Zinc and compounds (as Zn),252
2026/02/13,Austria,2007,2,Production and processing of metals,Mercury and compounds (as Hg),322
2026/02/13,United Kingdom,2019,2,Production and processing of metals,Arsenic and compounds (as As),158.4
2026/02/13,Estonia,2013,4,Chemical industry,Ammonia (NH3),61700
2026/02/13,Belgium,2013,3,Mineral industry,Nitrogen oxides (NOX),15225000
2026/02/13,Slovenia,2022,1,Energy sector,Sulphur oxides (SOX),841627
2026/02/13,Greece,2011,4,Chemical industry,Fluorine and inorganic compounds (as HF),6520
2026/02/13,United Kingdom,2013,9,Other activities,Benzene,6090
2026/02/13,Czechia,2017,1,Energy sector,Carbon monoxide (CO),4861000
2026/02/13,Netherlands,2011,1,Energy sector,Hydro-fluorocarbons (HFCS),492
2026/02/13,Netherlands,2009,2,Production and processing of metals,Carbon dioxide (CO2) excluding biomass,5590000000
2026/02/13,Luxembourg,2011,3,Mineral industry,Nitrogen oxides (NOX),3929000
2026/02/13,France,2018,9,Other activities,Chromium and compounds (as Cr),855
2026/02/13,Belgium,2021,2,Production and processing of metals,Tetrachloroethylene,8640
2026/02/13,Luxembourg,2010,3,Mineral industry,Sulphur oxides (SOX),738000
2026/02/13,Denmark,2008,7,Intensive livestock production and aquaculture,Ammonia (NH3),1344700
2026/02/13,Switzerland,2012,1,Energy sector,Nitrogen oxides (NOX),645000
2026/02/13,Spain,2012,3,Mineral industry,Naphthalene,153
2026/02/13,Luxembourg,2008,1,Energy sector,Carbon dioxide (CO2),750000000
2026/02/13,Switzerland,2018,2,Production and processing of metals,Nitrogen oxides (NOX),173264
2026/02/13,Romania,2007,2,Production and processing of metals,Perfluorocarbons (PFCs),5910
2026/02/13,Sweden,2014,4,Chemical industry,Nitrous oxide (N2O),206000
2026/02/13,Spain,2011,4,Chemical industry,Tetrachloromethane (TCM),127
2026/02/13,Netherlands,2022,7,Intensive livestock production and aquaculture,Methane (CH4),2239000
2026/02/13,Spain,2022,5,Waste and wastewater management,Cadmium and compounds (as Cd),72
2026/02/13,France,2022,4,Chemical industry,Nickel and compounds (as Ni),135.89999699999998
2026/02/13,Sweden,2013,3,Mineral industry,Nickel and compounds (as Ni),53.7
2026/02/13,Belgium,2021,2,Production and processing of metals,Arsenic and compounds (as As),122
2026/02/13,Germany,2009,9,Other activities,Sulphur oxides (SOX),158000
2026/02/13,Poland,2017,3,Mineral industry,Ammonia (NH3),1597300
2026/02/13,Czechia,2019,1,Energy sector,Hydro-fluorocarbons (HFCS),176.5
2026/02/13,Austria,2009,2,Production and processing of metals,Carbon monoxide (CO),116900000
2026/02/13,Portugal,2022,4,Chemical industry,Nitrous oxide (N2O),99000
2026/02/13,United Kingdom,2010,5,Waste and wastewater management,Nitrous oxide (N2O),328600
2026/02/13,Netherlands,2021,3,Mineral industry,Carbon dioxide (CO2),245000000
2026/02/13,Belgium,2016,3,Mineral industry,Naphthalene,155
2026/02/13,Spain,2024,4,Chemical industry,Polycyclic aromatic hydrocarbons (PAHs),301
2026/02/13,Portugal,2017,4,Chemical industry,Non-methane volatile organic compounds (NMVOC),2394000
2026/02/13,Germany,2012,5,Waste and wastewater management,Fluorine and inorganic compounds (as HF),58300
2026/02/13,Switzerland,2018,3,Mineral industry,Nitrogen oxides (NOX),2752000
2026/02/13,Germany,2018,1,Energy sector,Naphthalene,158
2026/02/13,Czechia,2012,3,Mineral industry,Chlorine and inorganic compounds (as HCl),10400
2026/02/13,Sweden,2008,4,Chemical industry,Ammonia (NH3),23900
2026/02/13,Serbia,2013,3,Mineral industry,Ammonia (NH3),33000
2026/02/13,Estonia,2011,1,Energy sector,Lead and compounds (as Pb),11100
2026/02/13,Italy,2008,8,Animal and vegetable products from the food and beverage sector,Carbon monoxide (CO),549000
2026/02/13,Belgium,2015,4,Chemical industry,PCDD + PCDF (dioxins + furans) (as Teq),0.000122
2026/02/13,Czechia,2011,6,Paper and wood production and processing,Hydro-fluorocarbons (HFCS),489
2026/02/13,Poland,2012,4,Chemical industry,Carbon monoxide (CO),14480000
2026/02/13,Cyprus,2019,,,Ammonia (NH3),79100
2026/02/13,Finland,2023,3,Mineral industry,Mercury and compounds (as Hg),27
2026/02/13,Finland,2023,2,Production and processing of metals,Mercury and compounds (as Hg),81.4
2026/02/13,Czechia,2009,1,Energy sector,Zinc and compounds (as Zn),489
2026/02/13,Hungary,2010,2,Production and processing of metals,Particulate matter (PM10),66500
2026/02/13,Serbia,2010,1,Energy sector,Nitrogen oxides (NOX),47110000
2026/02/13,France,2014,5,Waste and wastewater management,Hydrochlorofluorocarbons (HCFCs),4.78
2026/02/13,Slovenia,2011,6,Paper and wood production and processing,Carbon dioxide (CO2),207000000
2026/02/13,Portugal,2019,3,Mineral industry,Cadmium and compounds (as Cd),43
2026/02/13,Austria,2021,4,Chemical industry,Zinc and compounds (as Zn),1220
2026/02/13,Italy,2010,4,Chemical industry,Arsenic and compounds (as As),32
2026/02/13,Denmark,2008,1,Energy sector,Arsenic and compounds (as As),27
2026/02/13,Netherlands,2012,4,Chemical industry,Copper and compounds (as Cu),341
2026/02/13,Portugal,2023,8,Animal and vegetable products from the food and beverage sector,Hydrochlorofluorocarbons (HCFCs),10
2026/02/13,United Kingdom,2015,2,Production and processing of metals,Perfluorocarbons (PFCs),1430
2026/02/13,Poland,2011,9,Other activities,Hydro-fluorocarbons (HFCS),240
2026/02/13,Ireland,2013,5,Waste and wastewater management,Hydrochlorofluorocarbons (HCFCs),31.2
2026/02/13,Romania,2019,6,Paper and wood production and processing,PCDD + PCDF (dioxins + furans) (as Teq),0.00017
2026/02/13,Norway,2009,2,Production and processing of metals,Non-methane volatile organic compounds (NMVOC),164000
2026/02/13,Czechia,2014,4,Chemical industry,Nitrogen oxides (NOX),6930000
2026/02/13,Italy,2008,1,Energy sector,Carbon dioxide (CO2),150183000000
2026/02/13,Denmark,2020,5,Waste and wastewater management,Cadmium and compounds (as Cd),4.489
2026/02/13,Romania,2012,3,Mineral industry,Non-methane volatile organic compounds (NMVOC),237000
2026/02/13,Spain,2011,1,Energy sector,Carbon dioxide (CO2),86257000000
2026/02/13,Estonia,2022,1,Energy sector,Nickel and compounds (as Ni),809.5
2026/02/13,Italy,2007,1,Energy sector,Carbon dioxide (CO2),155277000000
2026/02/13,Spain,2008,1,Energy sector,Carbon dioxide (CO2),104783000000
2026/02/13,Czechia,2020,4,Chemical industry,Di-(2-ethyl hexyl) phthalate (DEHP),15.4
2026/02/13,Spain,2019,3,Mineral industry,Nickel and compounds (as Ni),900.4999999999999
2026/02/13,Netherlands,2023,5,Waste and wastewater management,Mercury and compounds (as Hg),21.4
2026/02/13,Ireland,2010,5,Waste and wastewater management,Hydrochlorofluorocarbons (HCFCs),36.81
2026/02/13,Germany,2012,2,Production and processing of metals,Nitrogen oxides (NOX),23240000
2026/02/13,Germany,2012,3,Mineral industry,Nitrogen oxides (NOX),39133000
2026/02/13,Belgium,2008,1,Energy sector,"Benzo(g,h,i)perylene",0.11
2026/02/13,Finland,2014,1,Energy sector,Nickel and compounds (as Ni),2144.7
2026/02/13,Germany,2010,8,Animal and vegetable products from the food and beverage sector,Nitrogen oxides (NOX),1633000
2026/02/13,Germany,2021,1,Energy sector,Particulate matter (PM10),2649000
2026/02/13,Spain,2007,7,Intensive livestock production and aquaculture,Methane (CH4),7298000
2026/02/13,Spain,2019,1,Energy sector,Non-methane volatile organic compounds (NMVOC),14267000
2026/02/13,Greece,2012,1,Energy sector,Benzene,71900
2026/02/13,United Kingdom,2013,4,Chemical industry,Sulphur oxides (SOX),1437000
